album,artist,genre,metascore,releasedate,userscore
Ten Freedom Summers,Wadada Leo Smith,Jazz,99,"May 22, 2012",5.2
Alice,Tom Waits,Rock,90,"May  7, 2002",8.5
Original Pirate Material,The Streets,"Electronic,Rap,Garage",90,"Oct 22, 2002",8.8
Candi Staton,Candi Staton,"R&B,Soul",90,"Feb 24, 2004",8.5
No Cities to Love,Sleater-Kinney,"Pop/Rock,Alternative/Indie Rock,Indie Rock",90,"Jan 20, 2015",8.1
Illinois,Sufjan Stevens,"Indie,Rock,Folk",90,"Jul  5, 2005",8.9
Carrie & Lowell,Sufjan Stevens,"Singer/Songwriter,Pop/Rock,Alternative/Indie Rock,Indie Rock,Lo-Fi,Indie Pop,Alternative Singer/Songwriter,Indie Folk,Chamber Pop",90,"Mar 31, 2015",8.8
From Here We Go Sublime,The Field,Electronic,90,"Apr  3, 2007",6.7
Is This It?,The Strokes,"Rock,Alternative",91,"Oct  9, 2001",8.9
We Got It From Here...Thank You 4 Your Service,A Tribe Called Quest,"Rap,East Coast Rap,Jazz-Rap",91,"Nov 11, 2016",8.8
The  Guitar Song,Jamey Johnson,"Country,Contemporary Country,Outlaw Country",91,"Sep 14, 2010",7.8
Accelerando,Vijay Iyer Trio,"Jazz,Piano Jazz,Jazz Instrument,Post-Bop,Progressive Jazz",88,"Mar 13, 2012",6.6
The ArchAndroid,Janelle Monáe,"R&B,Soul",91,"May 18, 2010",8.9
Canto,Los Super Seven,"Folk,Latin",91,"Mar 13, 2001",7.3
Masseduction,St. Vincent,"Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock",88,"Oct 13, 2017",8.7
A Moon Shaped Pool,Radiohead,"Alternative,Pop/Rock,Alternative Pop/Rock",88,"May  8, 2016",8.8
Loud City Song,Julia Holter,"Pop/Rock,Alternative/Indie Rock",88,"Aug 20, 2013",8.5
Charity Starts at Home,Phonte,"Rap,R&B,Alternative Rap",88,"Sep 27, 2011",8.1
Bad as Me,Tom Waits,"Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Alternative Singer/Songwriter",88,"Oct 25, 2011",7.8
Ta Det Lugnt,Dungen,"Indie,Rock",88,"Jun 21, 2004",8.6
69 Love Songs,Magnetic Fields,"Indie,Rock,Pop",88,"Sep  7, 1999",8.8
Memorial,Russian Circles,Pop/Rock,88,"Oct 29, 2013",8.4
The Witmark Demos: 1962-1964,Bob Dylan,"Folk,Pop/Rock,Political Folk",88,"Oct 19, 2010",7.6
Divers,Joanna Newsom,"Pop/Rock,Alternative/Indie Rock,Indie Rock,Alternative Singer/Songwriter,Indie Folk",88,"Oct 23, 2015",8.1
Dirty Computer,Janelle Monáe,R&B,88,"Apr 27, 2018",8.5
Only Built 4 Cuban Linx... Pt. II,Raekwon,Rap,88,"Sep  8, 2009",8.8
American Band,Drive-By Truckers,"Pop/Rock,Alternative/Indie Rock,Hard Rock,Alternative Country-Rock,Southern Rock",88,"Sep 30, 2016",7.9
Hypermagic Mountain,Lightning Bolt,"Indie,Rock,Experimental",88,"Oct 18, 2005",6.5
"Yours, Mine & Ours",Pernice Brothers,"Indie,Rock,Pop",88,"May 20, 2003",8.4
To Be Kind,Swans,"Pop/Rock,Alternative/Indie Rock,Experimental Rock,Art Rock,Noise-Rock,American Underground,Post-Punk",88,"May 13, 2014",8.6
Push Barman To Open Old Wounds,Belle and Sebastian,"Indie,Rock",89,"May 24, 2005",8.8
Chutes Too Narrow,The Shins,"Indie,Pop",88,"Oct 21, 2003",8.9
Ali & Toumani,Ali Farka Toure And Toumani Diabate,World,89,"Feb 23, 2010",8.5
Hell Hath No Fury,Clipse,Rap,89,"Nov 28, 2006",8.3
Wearemonster,Isolée,Electronic,89,"Jun  6, 2005",8.4
The Greatest Story Never Told,Saigon,Rap,89,"Feb 15, 2011",8.4
Songs For The Deaf,Queens of the Stone Age,"Rock,Alternative,Metal",89,"Aug 27, 2002",8.9
Golden Hour,Kacey Musgraves,Country,89,"Mar 30, 2018",8.5
Last Exit,Junior Boys,"Indie,Dance,Pop,Electronic",89,"Sep 21, 2004",8.3
A Seat at the Table,Solange,"R&B,Contemporary R&B,Alternative R&B",89,"Sep 30, 2016",8.3
The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do,Fiona Apple,"Pop/Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Singer/Songwriter,Alternative Pop/Rock,Contemporary Pop/Rock,Alternative Singer/Songwriter",89,"Jun 19, 2012",8.8
Airtight's Revenge,Bilal,"R&B,Soul,Pop/Rock,Contemporary R&B",87,"Sep 14, 2010",8.4
Franz Ferdinand,Franz Ferdinand,"Indie,Rock",87,"Mar  9, 2004",8.6
